AFGHANISTAN,,,,,,
Inbound tourism,,,,,,
Tourism expenditure in the country - US$ Mn,913,753,662,722,693,759
Travel - US$ Mn,825,674,589,635,618,689
Passenger transport - US$ Mn,88,79,73,87,75,70
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,345,285,247,213,173,157
Travel - US$ Mn,281,231,194,159,139,133
Passenger transport - US$ Mn,64,54,53,54,34,24
BOTSWANA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"2,101","2,103","2,145",..,..,..
Tourism expenditure in the country - US$ Mn,59,53,80,36,30,..
Travel - US$ Mn,58,52,78,33,30,..
Passenger transport - US$ Mn,0.7,0.6,2,3,0.4,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,54,80,89,82,100,..
Travel - US$ Mn,52,79,88,81,98,..
Passenger transport - US$ Mn,2,1,1,1,2,..
BRAZIL,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"5,050","4,802","5,161","5,433","5,677","5,813"
Tourism expenditure in the country - US$ Mn,"6,109","5,635","5,963","6,830","6,890","7,021"
Travel - US$ Mn,"5,785","5,305","5,702","6,555","6,645","6,711"
Passenger transport - US$ Mn,324,330,261,275,245,310
Outbound tourism,,,,,,
Departures - Thousands,"5,244","4,950","6,498","7,805","8,466","8,666"
Tourism expenditure in other countries - US$ Mn,"13,269","12,897","19,338","25,070","26,202","29,361"
Travel - US$ Mn,"10,962","10,898","16,420","21,264","22,233","25,103"
Passenger transport - US$ Mn,"2,307","1,999","2,918","3,806","3,969","4,258"
BRITISH VIRGIN ISLANDS,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,346,309,330,338,351,366
Tourism expenditure in the country - US$ Mn,446,374,389,388,397,421
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,166,140,151,145,139,..
Tourism expenditure in other countries - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
BRUNEI DARUSSALAM,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,..,..,..,..,..,"3,279"
Arrivals - Thousands,226,157,214,242,209,225
Tourism expenditure in the country - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,242,254,..,..,92,..
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,459,477,..,..,591,..
Passenger transport - US$ Mn,..,..,..,..,..,..
BULGARIA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"5,780","5,739","6,047","6,328","6,541","6,898"
Tourism expenditure in the country - US$ Mn,"4,852","4,273","4,035","4,554","4,202","4,632"
Travel - US$ Mn,"4,306","3,776","3,571","4,021","3,689","4,051"
Passenger transport - US$ Mn,546,497,464,533,513,581
Outbound tourism,,,,,,
Departures - Thousands,"5,727","4,993","3,676","3,803","3,758","3,930"
Tourism expenditure in other countries - US$ Mn,"2,602","1,955","1,382","1,498","1,475","1,755"
Travel - US$ Mn,"2,311","1,755","1,232","1,339","1,301","1,525"
Passenger transport - US$ Mn,291,200,150,159,174,230
BURKINA FASO,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,272,269,274,238,237,218
Tourism expenditure in the country - US$ Mn,82,99,105,..,..,..
Travel - US$ Mn,62,66,72,..,..,..
Passenger transport - US$ Mn,20,33,33,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,110,111,110,..,..,..
Travel - US$ Mn,63,64,69,..,..,..
Passenger transport - US$ Mn,47,47,41,..,..,..
BURUNDI,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,202,212,142,..,..,..
Tourism expenditure in the country - US$ Mn,1.6,1.7,2.1,3.7,2.7,..
Travel - US$ Mn,1.3,1.5,1.8,2.5,1.5,..
Passenger transport - US$ Mn,0.3,0.2,0.3,1.2,1.2,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,151,71,35,49,41,..
Travel - US$ Mn,144,62,20,31,25,..
Passenger transport - US$ Mn,7,9,15,18,16,..
CABO VERDE,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,285,287,336,428,482,503
Tourism expenditure in the country - US$ Mn,432,349,387,438,471,512
Travel - US$ Mn,352,286,278,368,414,463
Passenger transport - US$ Mn,80,63,109,70,57,49
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,143,145,138,142,132,126
Travel - US$ Mn,133,136,129,132,123,119
Passenger transport - US$ Mn,10,9,9,10,9,7
CAMBODIA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"2,125","2,162","2,508","2,882","3,584","4,210"
Tourism expenditure in the country - US$ Mn,"1,280","1,463","1,671","2,258","2,663","2,895"
Travel - US$ Mn,"1,101","1,336","1,519","2,084","2,463","2,660"
Passenger transport - US$ Mn,179,127,152,174,200,235
Outbound tourism,,,,,,
Departures - Thousands,786,340,505,710,792,872
Tourism expenditure in other countries - US$ Mn,180,163,269,344,406,469
Travel - US$ Mn,97,104,199,264,314,355
Passenger transport - US$ Mn,83,59,70,80,92,114
CAMEROON,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,487,498,573,604,817,912
Arrivals - Thousands,298,..,..,,,
Tourism expenditure in the country - US$ Mn,167,271,171,423,377,..
Travel - US$ Mn,156,270,159,409,349,..
Passenger transport - US$ Mn,11,1,12,14,28,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,563,476,265,622,668,..
Travel - US$ Mn,410,389,186,529,518,..
Passenger transport - US$ Mn,153,87,79,93,150,..
CANADA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"17,142","15,737","16,219","16,014","16,344","16,590"
Tourism expenditure in the country - US$ Mn,"18,191","15,568","18,438","19,989","20,696",..
Travel - US$ Mn,"15,668","13,733","15,829","16,834","17,407","17,656"
Passenger transport - US$ Mn,"2,523","1,835","2,609","3,155","3,289",..
Outbound tourism,,,,,,
Departures - Thousands,"27,034","26,204","28,680","30,450","32,276","32,977"
Tourism expenditure in other countries - US$ Mn,"33,844","30,065","36,975","41,234","43,010",..
Travel - US$ Mn,"27,226","24,038","29,727","33,388","35,038","35,170"
Passenger transport - US$ Mn,"6,618","6,027","7,248","7,846","7,972",..
CAYMAN ISLANDS,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,303,272,288,309,322,345
Tourism expenditure in the country - US$ Mn,518,458,465,472,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,130,120,129,145,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
CENTRAL AFRICAN REPUBLIC,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,31,52,54,65,71,..
Tourism expenditure in the country - US$ Mn,11.8,7.5,14.4,15,15,..
Travel - US$ Mn,9,4.5,11,11,11,..
Passenger transport - US$ Mn,2.8,3,3.4,4,4,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,38,..,..,..
Tourism expenditure in other countries - US$ Mn,56,61,67,68,69,..
Travel - US$ Mn,49,52,49,50,50,..
Passenger transport - US$ Mn,7,9,18,18,19,..
CHAD,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,61,70,71,77,86,100
Arrivals - Thousands,22,31,14,25,30,32
Tourism expenditure in the country - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,58,66,39,76,79,86
Tourism expenditure in other countries - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
CHILE,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"2,710","2,760","2,801","3,137","3,554","3,576"
Tourism expenditure in the country - US$ Mn,"2,537","2,350","2,422","2,751","3,114","3,182"
Travel - US$ Mn,"1,674","1,604","1,645","1,889","2,150","2,219"
Passenger transport - US$ Mn,863,746,777,862,964,963
Outbound tourism,,,,,,
Departures - Thousands,"1,900","1,909","2,219","2,638","2,837","2,999"
Tourism expenditure in other countries - US$ Mn,"1,789","1,504","1,808","2,047","2,377","2,476"
Travel - US$ Mn,"1,397","1,167","1,383","1,624","1,833","1,908"
Passenger transport - US$ Mn,392,337,425,423,544,568
CHINA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"53,049","50,875","55,664","57,581","57,725","55,686"
Tourism expenditure in the country - US$ Mn,"44,130","42,632","50,154","53,313","54,937","56,401"
Travel - US$ Mn,"40,843","39,675","45,814","48,464","50,028","51,664"
Passenger transport - US$ Mn,"3,287","2,957","4,340","4,849","4,909","4,737"
Outbound tourism,,,,,,
Departures - Thousands,"45,844","47,656","57,386","70,250","83,183","98,185"
Tourism expenditure in other countries - US$ Mn,"40,987","47,108","59,840","79,010","109,898","138,298"
Travel - US$ Mn,"36,157","43,702","54,880","72,585","101,977","128,576"
Passenger transport - US$ Mn,"4,830","3,406","4,960","6,425","7,921","9,722"
COLOMBIA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"2,545","2,649","1,701","2,356","2,429","2,595"
Arrivals - Thousands,"2,317","2,364","1,405","2,042","2,175","2,288"
Tourism expenditure in the country - US$ Mn,"2,438","2,609","2,727","2,992","3,257","3,639"
Travel - US$ Mn,"1,844","1,999","2,083","2,201","2,354","2,491"
Passenger transport - US$ Mn,594,610,644,791,903,"1,148"
Outbound tourism,,,,,,
Departures - Thousands,"2,042","2,122","2,342","2,522","3,165","3,605"
Tourism expenditure in other countries - US$ Mn,"2,337","2,301","2,373","2,842","3,364","3,536"
Travel - US$ Mn,"1,739","1,752","1,826","2,243","2,627","2,992"
Passenger transport - US$ Mn,598,549,547,599,737,544
