AFGHANISTAN,
Arrivals - Thousands,305
Arrivals - Thousands,297
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,180
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
COOK ISLANDS,
Inbound tourism,
Arrivals - Thousands,121
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,12
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
COSTA RICA,
Inbound tourism,
Arrivals - Thousands,"2,428"
Tourism expenditure in the country - US$ Mn,"2,829"
Travel - US$ Mn,"2,586"
Passenger transport - US$ Mn,243
Outbound tourism,
Departures - Thousands,790
Tourism expenditure in other countries - US$ Mn,571
Travel - US$ Mn,450
Passenger transport - US$ Mn,121
COTE D'IVOIRE,
Inbound tourism,
Arrivals - Thousands,..
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
CROATIA,
Inbound tourism,
Arrivals - Thousands,"10,955"
Tourism expenditure in the country - US$ Mn,"9,721"
Travel - US$ Mn,"9,518"
Passenger transport - US$ Mn,203
Outbound tourism,
Departures - Thousands,"2,927"
Tourism expenditure in other countries - US$ Mn,922
Travel - US$ Mn,903
Passenger transport - US$ Mn,19
CUBA,
Inbound tourism,
Arrivals - Thousands,"2,829"
Tourism expenditure in the country - US$ Mn,"2,627"
Travel - US$ Mn,"2,344"
Passenger transport - US$ Mn,283
Outbound tourism,
Departures - Thousands,287
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
CURAÇAO,
Inbound tourism,
Arrivals - Thousands,441
Tourism expenditure in the country - US$ Mn,778
Travel - US$ Mn,583
Passenger transport - US$ Mn,195
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,374
Travel - US$ Mn,296
Passenger transport - US$ Mn,78
CYPRUS,
Inbound tourism,
Arrivals - Thousands,"2,405"
Tourism expenditure in the country - US$ Mn,"3,005"
Travel - US$ Mn,"2,891"
Passenger transport - US$ Mn,114
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,"1,604"
Travel - US$ Mn,"1,220"
Passenger transport - US$ Mn,384
CZECH REPUBLIC,
Inbound tourism,
Arrivals - Thousands,"9,004"
Arrivals - Thousands,"7,852"
Tourism expenditure in the country - US$ Mn,"7,802"
Travel - US$ Mn,"7,048"
Passenger transport - US$ Mn,754
Outbound tourism,
Departures - Thousands,"5,304"
Tourism expenditure in other countries - US$ Mn,"4,655"
Travel - US$ Mn,"4,594"
Passenger transport - US$ Mn,61
DEMOCRATIC REPUBLIC OF THE CONGO,
Inbound tourism,
Arrivals - Thousands,191
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
DENMARK,
Inbound tourism,
Arrivals - Thousands,"8,557"
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,"6,396"
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,"6,977"
